,Dataset,Model Type,Activation,Optimizer,Trial,OOD Test Name,PostProcessor,AUROC,ACC
0,mnist,lenet,softplus,Adam,2,fashionmnist,odin,98.39,97.71
1,mnist,lenet,softplus,Adam,2,fashionmnist,mcd,97.16,97.71
2,cifar,resnet50,softplus,SGD,2,cifar100,odin,78.41,75.58
3,cifar,resnet50,softplus,SGD,2,cifar100,mcd,65.18,76.6
4,cifar,resnet50,relu,SGD,1,cifar100,odin,77.49,78.18
5,cifar,resnet50,relu,SGD,1,cifar100,mcd,70.01,76.36
6,cifar,resnet50,relu,Adam,2,cifar100,odin,81.73,84.94
7,cifar,resnet50,relu,Adam,2,cifar100,mcd,66.73,82.64
8,cifar,resnet50,relu,SGD,0,cifar100,odin,78.29,78.59
9,cifar,resnet50,relu,SGD,0,cifar100,mcd,70.72,77.19
10,mnist,lenet,softplus,SGD,0,fashionmnist,odin,99.17,98.33
11,mnist,lenet,softplus,SGD,0,fashionmnist,mcd,98.57,98.33
12,mnist,lenet,softplus,SGD,1,fashionmnist,odin,98.65,97.92
13,mnist,lenet,softplus,SGD,1,fashionmnist,mcd,96.24,97.92
14,mnist,lenet,relu,SGD,2,fashionmnist,odin,99.52,98.65
15,mnist,lenet,relu,SGD,2,fashionmnist,mcd,99.01,98.65
16,cifar,resnet50,softplus,Adam,2,cifar100,odin,79.64,85.12
17,cifar,resnet50,softplus,Adam,2,cifar100,mcd,66.56,82.82
18,mnist,lenet,relu,SGD,0,fashionmnist,odin,99.4,98.21
19,mnist,lenet,relu,SGD,0,fashionmnist,mcd,97.94,98.21
20,mnist,lenet,relu,SGD,1,fashionmnist,odin,99.62,98.19
21,mnist,lenet,relu,SGD,1,fashionmnist,mcd,98.93,98.19
22,cifar,resnet50,softplus,SGD,1,cifar100,odin,75.93,72.47
23,cifar,resnet50,softplus,SGD,1,cifar100,mcd,63.91,76.92
24,cifar,resnet50,relu,Adam,1,cifar100,odin,77.06,75.03
25,cifar,resnet50,relu,Adam,1,cifar100,mcd,61.77,71.37
26,cifar,resnet50,softplus,SGD,0,cifar100,odin,69.46,62.84
27,cifar,resnet50,softplus,SGD,0,cifar100,mcd,63.54,72.93
28,mnist,lenet,relu,Adam,1,fashionmnist,odin,99.26,97.88
29,mnist,lenet,relu,Adam,1,fashionmnist,mcd,98.28,97.88
30,mnist,lenet,softplus,Adam,1,fashionmnist,odin,95.02,96.61
31,mnist,lenet,softplus,Adam,1,fashionmnist,mcd,89.63,96.61
32,mnist,lenet,softplus,Adam,0,fashionmnist,odin,92.68,93.81
33,mnist,lenet,softplus,Adam,0,fashionmnist,mcd,90.41,93.81
34,mnist,lenet,relu,Adam,0,fashionmnist,odin,99.29,97.44
35,mnist,lenet,relu,Adam,0,fashionmnist,mcd,98.11,97.44
36,cifar,resnet50,relu,Adam,0,cifar100,odin,82.09,85.13
37,cifar,resnet50,relu,Adam,0,cifar100,mcd,67.24,83.49
38,cifar,resnet50,softplus,Adam,1,cifar100,odin,79.75,83.59
39,cifar,resnet50,softplus,Adam,1,cifar100,mcd,65.58,82.83
40,cifar,resnet50,softplus,Adam,0,cifar100,odin,81.23,85.32
41,cifar,resnet50,softplus,Adam,0,cifar100,mcd,67.11,83.45
42,cifar,resnet50,relu,SGD,2,cifar100,odin,79.33,81.29
43,cifar,resnet50,relu,SGD,2,cifar100,mcd,71.08,79.3
44,mnist,lenet,softplus,SGD,2,fashionmnist,odin,99.23,98.51
45,mnist,lenet,softplus,SGD,2,fashionmnist,mcd,98.35,98.51
46,mnist,lenet,relu,Adam,2,fashionmnist,odin,99.86,98.39
47,mnist,lenet,relu,Adam,2,fashionmnist,mcd,99.43,98.39
